Filename,Predictions
1901.jpg,sea
1902.jpg,sea
1903.jpg,trees
1904.jpg,sea
1905.jpg,trees
1906.jpg,trees
1907.jpg,sea
1908.jpg,trees
1909.jpg,"desert,trees"
1910.jpg,trees
1911.jpg,sea
1912.jpg,mountains
1913.jpg,mountains
1914.jpg,"mountains,trees"
1915.jpg,sea
1916.jpg,trees
1917.jpg,trees
1918.jpg,trees
1919.jpg,sea
1920.jpg,trees
1921.jpg,trees
1922.jpg,trees
1923.jpg,trees
1924.jpg,trees
1925.jpg,desert
1926.jpg,trees
1927.jpg,trees
1928.jpg,trees
1929.jpg,trees
1930.jpg,trees
1931.jpg,trees
1932.jpg,trees
1933.jpg,trees
1934.jpg,sea
1935.jpg,trees
1936.jpg,trees
1937.jpg,trees
1938.jpg,trees
1939.jpg,trees
1940.jpg,trees
1941.jpg,trees
1942.jpg,mountains
1943.jpg,mountains
1944.jpg,desert
1945.jpg,"desert,trees"
1946.jpg,desert
1947.jpg,trees
1948.jpg,trees
1949.jpg,mountains
1950.jpg,sunset
1951.jpg,sunset
1952.jpg,desert
1953.jpg,desert
1954.jpg,desert
1955.jpg,
1956.jpg,
1957.jpg,desert
1958.jpg,trees
1959.jpg,desert
1960.jpg,desert
1961.jpg,mountains
1962.jpg,
1963.jpg,desert
1964.jpg,desert
1965.jpg,desert
1966.jpg,
1967.jpg,mountains
1968.jpg,"mountains,trees"
1969.jpg,"mountains,trees"
1970.jpg,trees
1971.jpg,desert
1972.jpg,
1973.jpg,trees
1974.jpg,
1975.jpg,
1976.jpg,"mountains,trees"
1977.jpg,trees
1978.jpg,mountains
1979.jpg,
1980.jpg,desert
1981.jpg,trees
1982.jpg,sea
1983.jpg,mountains
1984.jpg,mountains
1985.jpg,mountains
1986.jpg,sea
1987.jpg,trees
1988.jpg,desert
1989.jpg,sea
1990.jpg,sea
1991.jpg,trees
1992.jpg,
1993.jpg,
1994.jpg,desert
1995.jpg,mountains
1996.jpg,mountains
1997.jpg,mountains
1998.jpg,desert
1999.jpg,trees
2000.jpg,trees
